Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,KHC,KHC,KHC,KHC,KHC,,,,,,,,
Date,,,,,,,,,,,,,
2016-11-10,56.08912658691406,58.92044996803185,55.49668389244554,58.576006785470426,7643600,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-11-11,55.94447708129883,56.30958611831099,55.22114934451644,55.799811533942346,4151100,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-11-14,55.16602325439453,56.23379400313518,55.05579890945339,55.806687805953345,4463400,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-11-15,55.896240234375,56.29579559460275,55.262466028639516,55.50357520954041,5723900,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-11-16,56.76423263549805,57.00534179131329,55.99956841578014,56.06156566051031,3327200,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-11-17,57.06734085083008,57.06734085083008,56.14423569470042,56.70223193815833,3161600,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-11-18,56.85378646850586,57.12934204436637,56.502452977889085,56.9708958801163,2715700,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-11-21,57.61843490600586,57.742434618374524,56.62988500137322,56.85377088902975,2508600,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-11-22,57.92844009399414,58.19022022299993,57.65977488690858,57.76999920560255,2648000,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-11-23,56.791778564453125,58.07999236196486,56.302670005595495,57.728664193071374,3459900,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-11-25,57.14311218261719,57.37733624000002,56.92266879343716,56.92266879343716,1230300,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-11-28,57.3291130065918,57.63910970834599,56.736670427243254,57.14311078091141,2642300,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-11-29,57.86644744873047,58.21089058830625,57.26711449378594,57.45311673239658,3744600,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-11-30,56.6522331237793,57.942780413660365,56.6522331237793,57.658302488206054,3309900,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-12-01,55.84735870361328,56.742415801010395,55.45880875507353,56.55508073113473,4043300,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
2016-12-02,56.1387939453125,56.562032960466205,55.75023858214543,56.020836708252354,2779300,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459,2015 (1869)
