Date,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
2020-11-17,39.44381332397461,39.78241985724061,38.67210548472039,39.04221133293928,5941584,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-11-18,39.026458740234375,39.85329197174363,39.01858549751658,39.54618157942977,3191971,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-11-19,38.7665901184082,38.87683770093029,38.19962158396704,38.69572143070497,3668966,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-11-20,38.92409133911133,39.17607634783541,38.34924627540106,38.73510178953413,3558509,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-11-23,39.38081359863281,39.78241554614783,39.21544697125506,39.47530836111494,2926070,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-11-24,40.84548568725586,40.939983625770296,39.7666707021161,39.78241718639894,3083520,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-11-25,40.21552276611328,40.593505044204,39.84542007527953,40.349393273930566,2439254,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-11-27,39.91627883911133,40.32575395463421,39.59341888436895,39.89265277364737,971520,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-11-30,38.96345520019531,39.86115694637079,38.84533755110985,39.78241184698048,3618912,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-01,39.25482177734375,39.84541645585183,38.98708713030248,39.5540557377321,2678544,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-02,39.26268768310547,39.617043789569145,38.971327019428514,39.12094714380141,1809878,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-03,37.98701477050781,39.33357090178085,37.71140685307763,39.19183032152979,4795507,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-04,38.48310852050781,38.63272549181906,37.845268081984734,38.39648700001432,4276694,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-07,38.32561874389648,38.51460827063829,37.75864699153494,38.51460827063829,3312355,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-08,38.65635299682617,38.67210582657832,38.01851248227861,38.09726077035696,2243472,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-09,39.01070785522461,39.19182413867247,38.585479837281696,38.585479837281696,2794598,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-10,38.3019905090332,38.955583745932174,38.16812319950227,38.5933511967045,2236714,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-11,38.29412078857422,38.49885997848645,37.84526985362852,38.089381598662,1956874,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-14,37.80589294433594,38.90833387716951,37.79801653093708,38.84533843065807,2647286,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-15,38.70359802246094,38.70359802246094,38.10513012691946,38.1917484767671,2531338,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-16,38.82958984375,39.0973244639558,38.70359577512658,38.908334947088655,2354458,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-17,39.17606735229492,39.20756666070381,38.50672766748867,38.93983205563563,2093520,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-18,39.357181549072266,39.46742595057383,38.8295856076974,39.17606529344319,5824896,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-21,38.96345520019531,39.00282774989047,38.05787704079932,38.687844180193416,3656083,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-22,38.90045547485352,39.36505595112602,38.829583624346014,39.16819005217579,2287402,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-23,39.01858139038086,39.34931464817124,38.82171544965721,39.16032512147277,2462698,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-24,39.18394088745117,39.21544019354647,38.74296329065916,39.16819123440352,463690,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-28,38.89258575439453,39.45955748387277,38.82959030540184,39.38081237959791,1506278,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-29,38.56185531616211,39.057955219041546,38.43586440900792,38.97921010903612,1096128,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-30,39.08945083618164,39.20756849002233,38.62485029008458,38.62485029008458,1253789,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2020-12-31,39.15245056152344,39.21544918816367,38.58548195457908,39.01858323811737,1433098,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-01-04,38.183876037597656,39.357188955401945,37.90826498197862,39.089454314021296,2798506,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-01-05,39.16819763183594,39.57767598941369,38.388613469662594,38.388613469662594,2338723,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
2021-01-06,41.609317779541016,42.04241899790159,39.76666532606954,40.08164889545973,3734544,IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,"Memphis, Tennessee",1957-03-04,51434.0,1898.0
